email,points_total,points_wallet,tier
aidan_gillen@gameofthron.es,371118,92780,Gold
harry_lloyd@gameofthron.es,243542,81181,Silver
michelle_fairley@gameofthron.es,301074,301074,Silver
kit_harington@gameofthron.es,840961,210240,Silver
sophie_turner@gameofthron.es,896887,298962,Silver
maisie_williams@gameofthron.es,232576,116288,Silver
richard_madden@gameofthron.es,888334,888334,Silver
alfie_allen@gameofthron.es,328439,65688,Gold
isaac_hempstead_wright@gameofthron.es,55755,11151,Silver
mark_addy@gameofthron.es,760455,380228,Silver
rory_mccann@gameofthron.es,921802,921802,Silver
sean_bean@gameofthron.es,121698,121698,Silver
jack_gleeson@gameofthron.es,522857,174286,Silver
nikolaj_coster-waldau@gameofthron.es,311769,311769,Silver
iain_glen@gameofthron.es,892838,446419,Silver
jason_momoa@gameofthron.es,886541,295514,Silver
lena_headey@gameofthron.es,376561,125520,Silver
peter_dinklage@gameofthron.es,604113,302057,Silver
jerome_flynn@gameofthron.es,130830,43610,Silver
emilia_clarke@gameofthron.es,212897,212897,Silver
conleth_hill@gameofthron.es,382143,382143,Silver
sibel_kekilli@gameofthron.es,183257,36651,Silver
charles_dance@gameofthron.es,237769,59442,Silver
james_cosmo@gameofthron.es,483039,483039,Silver
rose_leslie@gameofthron.es,268091,268091,Silver
joe_dempsie@gameofthron.es,756231,252077,Silver
kristofer_hivju@gameofthron.es,218877,43775,Silver
oona_chaplin@gameofthron.es,981827,327276,Silver
natalie_dormer@gameofthron.es,101141,33714,Silver
hannah_murray@gameofthron.es,278877,278877,Silver
gwendoline_christie@gameofthron.es,47643,11911,Silver
iwan_rheon@gameofthron.es,10021,5011,Silver
michiel_huisman@gameofthron.es,748972,149794,Silver
indira_varma@gameofthron.es,453672,113418,Silver
liam_cunningham@gameofthron.es,7458,3729,Silver
john_bradley-west@gameofthron.es,268615,67154,Silver
nathalie_emmanuel@gameofthron.es,581997,145499,Silver
stephen_dillane@gameofthron.es,963996,963996,Silver
dean-charles_chapman@gameofthron.es,428911,214456,Silver
jonathan_pryce@gameofthron.es,315519,105173,Silver
natalia_tena@gameofthron.es,368297,92074,Silver
